"grade","id","commonName","scientificName"
"K-5","canada-thistle","Canada Thistle","Cirsium arvense"
"K-5","common_Milkweed","Common Milkweed","Asclepias syriaca"
"K-5","Common_mullein","Common Mullein","Verbascum thapsus"
"K-5","Dandelion","Dandelion","Taraxacum officinale"
"K-5","Field_bindweed","Field Bindweed","Convolvulus arvensis"
"K-5","giant-foxtail","Giant Foxtail","Setaria faberi"
"K-5","giant-ragweed","Giant Ragweed","Ambrosia trifida"
"K-5","kochia","Kochia","Bassia scoparia"
"K-5","lambsquarters","Lambsquarters","Chenopodium album"
"K-5","pennsylvania-smartweed","Pennsylvania Smartweed","Persicaria pensylvanica"
"K-5","velvetleaf","Velvetleaf","Abutilon theophrasti"
"K-5","Venice_mallow","Venice Mallow","Hibiscus trionum"
"K-5","Wild_Carrot","Wild Carrot","Daucus carota"
"K-5","wild-parsnip","Wild Parsnip","Pastinaca sativa"
"K-5","yellow-nutsedge","Yellow Nutsedge","Cyperus esculentus"
"6-8","barnyardgrass","Barnyardgrass","Echinochloa crus-galli"
"6-8","canada-thistle","Canada Thistle","Cirsium arvense"
"6-8","Common_Burdock","Common Burdock","Arctium minus"
"6-8","CommonChickweed","Common Chickweed","Stellaria media"
"6-8","common_Cocklebur","Common Cocklebur","Xanthium strumarium"
"6-8","common_Milkweed","Common Milkweed","Asclepias syriaca"
"6-8","Common_mullein","Common Mullein","Verbascum thapsus"
"6-8","commonPokeweed","Common Pokeweed","Phytolacca americana"
"6-8","common-ragweed","Common Ragweed","Ambrosia artemisiifolia"
"6-8","Common_teasel","Common Teasel","Dipsacus fullonum"
"6-8","Curly_dock","Curly Dock","Rumex crispus"
"6-8","Dandelion","Dandelion","Taraxacum officinale"
"6-8","Field_bindweed","Field Bindweed","Convolvulus arvensis"
"6-8","Field_Horsetail","Field Horsetail","Equisetum arvense"
"6-8","giant-foxtail","Giant Foxtail","Setaria faberi"
"6-8","giant-ragweed","Giant Ragweed","Ambrosia trifida"
"6-8","golden-alexanders","Golden Alexanders","Zizia aurea"
"6-8","Ground_ivy","Ground Ivy","Glechoma hederacea"
"6-8","Henbit_deadnettle","Henbit","Lamium amplexicaule"
"6-8","Horsenettle","Horsenettle","Solanum carolinense"
"6-8","Horseweed","Horseweed","Erigeron canadensis"
"6-8","Jimsonweed","Jimsonweed","Datura stramonium"
"6-8","kochia","Kochia","Bassia scoparia"
"6-8","lambsquarters","Lambsquarters","Chenopodium album"
"6-8","large-crabgrass","Large Crabgrass","Digitaria sanguinalis"
"6-8","Musk_thistle","Musk Thistle","Carduus nutans"
"6-8","pennsylvania-smartweed","Pennsylvania Smartweed","Persicaria pensylvanica"
"6-8","Redroot_pigweed","Redroot Pigweed","Amaranthus retroflexus"
"6-8","Shepherds_Purse","Shepherd's Purse","Capsella bursa-pastoris"
"6-8","Tall_morningglory","Common Morningglory","Ipomoea purpurea"
"6-8","velvetleaf","Velvetleaf","Abutilon theophrasti"
"6-8","Venice_mallow","Venice Mallow","Hibiscus trionum"
"6-8","volunteer-sunflower","Common Sunflower","Helianthus annuus"
"6-8","Wild_Carrot","Wild Carrot","Daucus carota"
"6-8","wild-parsnip","Wild Parsnip","Pastinaca sativa"
"6-8","Witchgrass","Witchgrass","Panicum capillare"
"6-8","yellow-nutsedge","Yellow Nutsedge","Cyperus esculentus"
"9-12","Asiatic_dayflower","Asiatic Dayflower","Commelina communis"
"9-12","barnyardgrass","Barnyardgrass","Echinochloa crus-galli"
"9-12","Buffalobur","Buffalobur","Solanum rostratum"
"9-12","canada-thistle","Canada Thistle","Cirsium arvense"
"9-12","Catchweed_bedstraw","Catchweed Bedstraw","Galium aparine"
