"grade","id","commonName","scientificName","inMaster"
"Collegiate","Smooth_Witchgrass","Fall Panicum","Panicum dichotomiflorum","YES"
"Collegiate","Nimblewill","Nimblewill","Muhlenbergia schreberi","YES"
"Collegiate","Foxtail_barley","Foxtail Barley","Hordeum jubatum","YES"
"Collegiate","Quackgrass","Quackgrass","Elytrigia repens","YES"
"Collegiate","Downy_brome","Downy Brome","Bromus tectorum","YES"
"Collegiate","Wild_buckwheat","Wild Buckwheat","Fallopia convolvulus","YES"
"Collegiate","Ladysthumb","Lady's Thumb","Persicaria maculosa","YES"
"Collegiate","Water_smartweed","Water Smartweed","Persicaria amphibia","YES"
"Collegiate","Curly_dock","Curly Dock","Rumex crispus","YES"
"Collegiate","Witchgrass","Witchgrass","Panicum capillare","YES"
"Collegiate","Horsenettle","Horsenettle","Solanum carolinense","YES"
"Collegiate","Buffalobur","Buffalobur","Solanum rostratum","YES"
"Collegiate","Smooth_Groundcherry","Smooth Groundcherry","Physalis longifolia","YES"
"Collegiate","Tall_morningglory","Common Morningglory","Ipomoea purpurea","YES"
"Collegiate","Field_bindweed","Field Bindweed","Convolvulus arvensis","YES"
"Collegiate","Hedge_bindweed","Hedge Bindweed","Calystegia sepium","YES"
"Collegiate","Garlic_mustard","Garlic Mustard","Alliaria petiolata","YES"
"Collegiate","Dandelion","Dandelion","Taraxacum officinale","YES"
"Collegiate","Horseweed","Horseweed","Erigeron canadensis","YES"
"Collegiate","Prickly_lettuce","Prickly Lettuce","Lactuca serriola","YES"
"Collegiate","Jimsonweed","Jimsonweed","Datura stramonium","YES"
"Collegiate","Eastern_black_nightshade","Eastern Black Nightshade","Solanum emulans","YES"
"Collegiate","waterhemp","Waterhemp","Amaranthus tuberculatus","YES"
"Collegiate","palmer-amaranth","Palmer Amaranth","Amaranthus palmeri","YES"
"Collegiate","Redroot_pigweed","Redroot Pigweed","Amaranthus retroflexus","YES"
"Collegiate","yellow_Rocket","Yellow Rocket","Barbarea vulgaris","YES"
"Collegiate","Wild_mustard","Wild Mustard","Rhamphospermum arvense","YES"
"Collegiate","Shepherds_Purse","Shepherd's Purse","Capsella bursa-pastoris","YES"
"Collegiate","Field_Pennycress","Field Pennycress","Thlaspi arvense","YES"
"Collegiate","Woolly_cupgrass","Woolly Cupgrass","Eriochloa villosa","YES"
"Collegiate","Shattercane_Sorghums","Shattercane/Sorghums","Sorghum bicolor","YES"
"Collegiate","Goosegrass","Goosegrass","Eleusine indica","YES"
"Collegiate","Longspine_sandbur","Longspine Sandbur","Cenchrus longispinus","YES"
"Collegiate","Asian_copperleaf","Asian Copperleaf","Acalypha australis","YES"
"Collegiate","Asiatic_dayflower","Asiatic Dayflower","Commelina communis","YES"
"Collegiate","Burcucumber","Burcucumber","Sicyos angulatus","YES"
"Collegiate","Catchweed_bedstraw","Catchweed Bedstraw","Galium aparine","YES"
"Collegiate","Henbit_deadnettle","Henbit","Lamium amplexicaule","YES"
"Collegiate","Ground_ivy","Ground Ivy","Glechoma hederacea","YES"
"Collegiate","Hemp_dogbane","Hemp Dogbane","Apocynum cannabinum","YES"
"Collegiate","common_Milkweed","Common Milkweed","Asclepias syriaca","YES"
"Collegiate","Honey-vine_climbing_milkweed","Honeyvine Milkweed","Cynanchum laeve","YES"
"Collegiate","CommonChickweed","Common Chickweed","Stellaria media","YES"
"Collegiate","Mouseear_chickweed","Mouseear Chickweed","Cerastium fontanum","YES"
"Collegiate","Common_Burdock","Common Burdock","Arctium minus","YES"
"Collegiate","Musk_thistle","Musk Thistle","Carduus nutans","YES"
"Collegiate","Common_mullein","Common Mullein","Verbascum thapsus","YES"
"Collegiate","Common_teasel","Common Teasel","Dipsacus fullonum","YES"
"Collegiate","Star_of_Bethlehem","Star of Bethlehem","Ornithogalum umbellatum","YES"
"Collegiate","Russian_thistle","Russian Thistle","Salsola tragus","YES"
"Collegiate","Wild_Four-o'clock","Wild Four-o'clock","Mirabilis nyctaginea","YES"
"Collegiate","Pinnate_tansymustard","Pinnate Tansymustard","Descurainia pinnata","YES"
