"grade","id","commonName","scientificName","inMaster"
"6-8","barnyardgrass","Barnyardgrass","Echinochloa crus-galli","YES"
"6-8","canada-thistle","Canada Thistle","Cirsium arvense","YES"
"6-8","Common_Burdock","Common Burdock","Arctium minus","YES"
"6-8","CommonChickweed","Common Chickweed","Stellaria media","YES"
"6-8","common_Cocklebur","Common Cocklebur","Xanthium strumarium","YES"
"6-8","common_Milkweed","Common Milkweed","Asclepias syriaca","YES"
"6-8","Common_mullein","Common Mullein","Verbascum thapsus","YES"
"6-8","commonPokeweed","Common Pokeweed","Phytolacca americana","YES"
"6-8","common-ragweed","Common Ragweed","Ambrosia artemisiifolia","YES"
"6-8","Common_teasel","Common Teasel","Dipsacus fullonum","YES"
"6-8","Curly_dock","Curly Dock","Rumex crispus","YES"
"6-8","Dandelion","Dandelion","Taraxacum officinale","YES"
"6-8","Field_bindweed","Field Bindweed","Convolvulus arvensis","YES"
"6-8","Field_Horsetail","Field Horsetail","Equisetum arvense","YES"
"6-8","giant-foxtail","Giant Foxtail","Setaria faberi","YES"
"6-8","giant-ragweed","Giant Ragweed","Ambrosia trifida","YES"
"6-8","golden-alexanders","Golden Alexanders","Zizia aurea","YES"
"6-8","Ground_ivy","Ground Ivy","Glechoma hederacea","YES"
"6-8","Henbit_deadnettle","Henbit","Lamium amplexicaule","YES"
"6-8","Horsenettle","Horsenettle","Solanum carolinense","YES"
"6-8","Horseweed","Horseweed","Erigeron canadensis","YES"
"6-8","Jimsonweed","Jimsonweed","Datura stramonium","YES"
"6-8","kochia","Kochia","Bassia scoparia","YES"
"6-8","lambsquarters","Lambsquarters","Chenopodium album","YES"
"6-8","large-crabgrass","Large Crabgrass","Digitaria sanguinalis","YES"
"6-8","Musk_thistle","Musk Thistle","Carduus nutans","YES"
"6-8","pennsylvania-smartweed","Pennsylvania Smartweed","Persicaria pensylvanica","YES"
"6-8","Redroot_pigweed","Redroot Pigweed","Amaranthus retroflexus","YES"
"6-8","Shepherds_Purse","Shepherd's Purse","Capsella bursa-pastoris","YES"
"6-8","Tall_morningglory","Common Morningglory","Ipomoea purpurea","YES"
"6-8","velvetleaf","Velvetleaf","Abutilon theophrasti","YES"
"6-8","Venice_mallow","Venice Mallow","Hibiscus trionum","YES"
"6-8","volunteer-sunflower","Common Sunflower","Helianthus annuus","YES"
"6-8","Wild_Carrot","Wild Carrot","Daucus carota","YES"
"6-8","wild-parsnip","Wild Parsnip","Pastinaca sativa","YES"
"6-8","Witchgrass","Witchgrass","Panicum capillare","YES"
"6-8","yellow-nutsedge","Yellow Nutsedge","Cyperus esculentus","YES"
