"grade","id","commonName","scientificName","inMaster"
"K-5","canada-thistle","Canada Thistle","Cirsium arvense","YES"
"K-5","common_Milkweed","Common Milkweed","Asclepias syriaca","YES"
"K-5","Common_mullein","Common Mullein","Verbascum thapsus","YES"
"K-5","Dandelion","Dandelion","Taraxacum officinale","YES"
"K-5","Field_bindweed","Field Bindweed","Convolvulus arvensis","YES"
"K-5","giant-foxtail","Giant Foxtail","Setaria faberi","YES"
"K-5","giant-ragweed","Giant Ragweed","Ambrosia trifida","YES"
"K-5","kochia","Kochia","Bassia scoparia","YES"
"K-5","lambsquarters","Lambsquarters","Chenopodium album","YES"
"K-5","pennsylvania-smartweed","Pennsylvania Smartweed","Persicaria pensylvanica","YES"
"K-5","velvetleaf","Velvetleaf","Abutilon theophrasti","YES"
"K-5","Venice_mallow","Venice Mallow","Hibiscus trionum","YES"
"K-5","Wild_Carrot","Wild Carrot","Daucus carota","YES"
"K-5","wild-parsnip","Wild Parsnip","Pastinaca sativa","YES"
"K-5","yellow-nutsedge","Yellow Nutsedge","Cyperus esculentus","YES"
