band,label,gameId,component,file,currentPool,expected,extras,status
68,9-12,ms-name-weed,MSNameTheWeed,src/components/game/practice-games/middle/NameTheWeed.tsx,"highSchoolWeeds","highSchoolWeeds",,OK
68,9-12,weed-origins,WeedOrigins,src/components/game/practice-games/middle/WeedOrigins.tsx,"highSchoolWeeds","highSchoolWeeds",,OK
68,9-12,ms-taxonomy,MSTaxonomyTower,src/components/game/practice-games/middle/TaxonomyTower.tsx,"highSchoolWeeds","highSchoolWeeds",,OK
68,9-12,ms-habitat,MSHabitatMapping,src/components/game/practice-games/middle/HabitatMapping.tsx,"highSchoolWeeds","highSchoolWeeds",,OK
68,9-12,weed-competitors,WeedCompetitors,src/components/game/practice-games/middle/WeedCompetitors.tsx,"highSchoolWeeds","highSchoolWeeds",competitionTraits,OK
68,9-12,invasive-quiz,InvasiveQuiz,src/components/game/practice-games/middle/InvasiveQuiz.tsx,"highSchoolWeeds","highSchoolWeeds",weedKnowledge,OK
68,9-12,ms-safe-toxic,MSSafeVsToxic,src/components/game/practice-games/middle/SafeVsToxic.tsx,"highSchoolWeeds","highSchoolWeeds",,OK
68,9-12,life-stage-control,LifeStageControl,src/components/game/practice-games/middle/LifeStageControl.tsx,"highSchoolWeeds","highSchoolWeeds",,OK
68,9-12,ms-lifecycle,MSLifeCycleMatching,src/components/game/practice-games/middle/LifeCycleMatching.tsx,"highSchoolWeeds","highSchoolWeeds",,OK
68,9-12,control-matching,ControlMethodMatching,src/components/game/practice-games/middle/ControlMethodMatching.tsx,"highSchoolWeeds","highSchoolWeeds",herbicides,OK
68,9-12,herbicide-applicator,HerbicideApplicator,src/components/game/practice-games/middle/HerbicideApplicator.tsx,"highSchoolWeeds","highSchoolWeeds",herbicides,OK
68,9-12,grass-id-lab,GrassID,src/components/game/practice-games/high/GrassID.tsx,"highSchoolWeeds","highSchoolWeeds",grassFeatures,OK
68,9-12,ms-sleepy-seeds,SleepySeeds,src/components/game/practice-games/high/SleepySeeds.tsx,"weedsForPool|collegiateWeeds|typePoolGrade","highSchoolWeeds",,OK
68,9-12,ms-pasture-walk,FieldScoutChallenge,src/components/game/practice-games/middle/FieldScoutChallenge.tsx,"weedsForPool|typePoolGrade","highSchoolWeeds",,OK
68,9-12,seed-banks,WeedSeedBanks,src/components/game/practice-games/k5/WeedSeedBanks.tsx,"highSchoolWeeds","highSchoolWeeds",,OK
68,9-12,weed-lineup,WeedLineUp,src/components/game/practice-games/k5/WeedLineUp.tsx,"highSchoolWeeds","highSchoolWeeds",,OK
912,Collegiate,hs-name-weed,HSNameTheWeed,src/components/game/practice-games/high/NameTheWeed.tsx,"collegiateWeeds","collegiateWeeds|collegiateWeedsAll",,OK
912,Collegiate,weed-bank,WeedBank,src/components/game/practice-games/middle/WeedBank.tsx,"collegiateWeeds","collegiateWeeds|collegiateWeedsAll",,OK
912,Collegiate,hs-taxonomy,HSTaxonomyTower,src/components/game/practice-games/high/TaxonomyTower.tsx,"collegiateWeeds","collegiateWeeds|collegiateWeedsAll",,OK
912,Collegiate,spot-differences,SpotTheDifferences,src/components/game/practice-games/high/SpotTheDifferences.tsx,"collegiateWeeds","collegiateWeeds|collegiateWeedsAll",,OK
912,Collegiate,hs-habitat,HSHabitatMapping,src/components/game/practice-games/high/HabitatMapping.tsx,"collegiateWeeds","collegiateWeeds|collegiateWeedsAll",,OK
912,Collegiate,invasive-habitat,InvasiveHabitatMapping,src/components/game/practice-games/high/InvasiveHabitatMapping.tsx,"collegiateWeeds","collegiateWeeds|collegiateWeedsAll",weedKnowledge,OK
912,Collegiate,hs-field-scout,FieldScoutTools,src/components/game/practice-games/high/FieldScoutTools.tsx,"collegiateWeeds","collegiateWeeds|collegiateWeedsAll",,OK
912,Collegiate,hs-lifecycle,LifeCycleSort,src/components/game/practice-games/high/LifeCycleSort.tsx,"collegiateWeeds","collegiateWeeds|collegiateWeedsAll",,OK
912,Collegiate,sleepy-seeds,SleepySeeds,src/components/game/practice-games/high/SleepySeeds.tsx,"weedsForPool|collegiateWeeds|typePoolGrade","collegiateWeeds|collegiateWeedsAll",,OK
912,Collegiate,allelopathy,AllelopathyAttack,src/components/game/practice-games/high/AllelopathyAttack.tsx,"collegiateWeeds","collegiateWeeds|collegiateWeedsAll",,OK
912,Collegiate,hs-weed-control,HSWeedControl,src/components/game/practice-games/high/WeedControl.tsx,"collegiateWeeds","collegiateWeeds|collegiateWeedsAll",,OK
912,Collegiate,hs-control-match,HSControlMethodMatching,src/components/game/practice-games/high/ControlMethodMatching.tsx,"collegiateWeeds","collegiateWeeds|collegiateWeedsAll",herbicides,OK
912,Collegiate,crop-doctor,CropDoctor,src/components/game/practice-games/high/CropDoctor.tsx,"NONE","collegiateWeeds|collegiateWeedsAll",,NO_POOL
912,Collegiate,ligule-lens,LiguleLens,src/components/game/practice-games/middle/LiguleLens.tsx,"collegiateWeedsAll","collegiateWeeds|collegiateWeedsAll",,OK
912,Collegiate,life-stage-maze,LifeStageMaze,src/components/game/practice-games/high/LifeStageMaze.tsx,"collegiateWeeds","collegiateWeeds|collegiateWeedsAll",,OK
912,Collegiate,hs-field-scout-draw,FieldScoutDraw,src/components/game/practice-games/high/FieldScoutDraw.tsx,"collegiateWeeds","collegiateWeeds|collegiateWeedsAll",,OK
912,Collegiate,invasive-match,InvasiveMatch,src/components/game/practice-games/k5/InvasiveMatch.tsx,"collegiateWeedsAll","collegiateWeeds|collegiateWeedsAll",,OK
newk5,K-5,weed-or-crop,WeedOrCrop,src/components/game/practice-games/k5/WeedOrCrop.tsx,"elementaryWeeds","elementaryWeeds",,OK
newk5,K-5,leaf-artist,LeafArtist,src/components/game/practice-games/k5/LeafArtist.tsx,"elementaryWeeds","elementaryWeeds",,OK
